입국자국가,국가코드,입국연월,입국자 수
중국,112,565243,201701
중국,112,590790,201702
중국,112,201703,360782
중국,112,227811,201704
중국,112,201705,253359
중국,112,201706,254930
중국,112,201707,281263
중국,112,201708,339388
중국,112,318682,201709
중국,112,345384,201710
중국,112,201711,299247
중국,112,201712,332474
중국,112,201801,305127
중국,112,345341,201802
중국,112,403413,201803
중국,112,366604,201804
중국,112,370222,201805
중국,112,379891,201806
중국,112,201807,410337
중국,112,478140,201808
중국,112,201809,434595
중국,112,475307,201810
중국,112,404256,201811
중국,112,201812,416279
중국,112,201901,392814
중국,112,201902,453379
중국,112,201903,487623
중국,112,493250,201904
중국,112,500413,201905
중국,112,475007,201906
중국,112,519132,201907
중국,112,578112,201908
중국,112,201909,541350
중국,112,201910,567695
중국,112,201911,505369
중국,112,508877,201912
중국,112,481681,202001
중국,112,202002,104086
중국,112,16595,202003
중국,112,202004,3935
중국,112,5124,202005
중국,112,5051,202006
중국,112,9738,202007
중국,112,16275,202008
중국,112,15307,202009
중국,112,202010,11477
중국,112,9174,202011
중국,112,7987,202012
